Rk,Player,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
425,Salma Paralluelo,FW,es Spain,19,2003,5.1,1,0,0,6,5,0,21,4,6,0,0,0,27,7,10,41.2,Matches
426,Irene Paredes,DF,es Spain,31,1991,7.3,0,0,0,6,4,1,3,12,5,0,0,0,51,16,12,57.1,Matches
427,Heather Payne,"MF,DF",ie Rep. of Ireland,23,2000,1.9,0,0,0,0,3,0,9,0,3,0,0,0,4,1,0,100.0,Matches
428,Toni Payne,MF,ng Nigeria,28,1995,4.2,0,0,0,0,1,0,21,2,2,0,0,0,23,1,4,20.0,Matches
429,Victoria Pelova,"FW,MF",nl Netherlands,24,1999,4.8,0,0,0,4,4,3,6,8,5,0,0,0,50,2,2,50.0,Matches
430,Ria Percival,MF,nz New Zealand,33,1989,2.7,0,0,0,4,5,0,13,2,5,0,0,0,23,8,6,57.1,Matches
431,Inês Pereira,GK,pt Portugal,24,1999,2.0,0,0,0,0,2,0,0,0,0,0,0,0,4,1,0,100.0,Matches
432,Catalina Pérez,GK,co Colombia,28,1994,4.7,1,0,0,1,2,0,0,0,0,0,1,0,5,2,0,100.0,Matches
433,María Pérez,MF,es Spain,21,2001,0.3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,,Matches
434,Ève Périsset,DF,fr France,28,1994,2.9,0,0,0,1,1,0,5,3,8,0,0,0,28,2,2,50.0,Matches
435,Betina Petit-Frère,DF,ht Haiti,19,2003,3.0,0,0,0,0,3,0,1,5,1,0,0,0,13,1,2,33.3,Matches
436,Pauline Peyraud-Magnin,GK,fr France,31,1992,5.3,0,0,0,0,0,0,0,0,0,0,0,0,21,2,0,100.0,Matches
437,Casey Phair,"FW,DF",kr Korea Republic,15,2007,1.2,0,0,0,3,1,0,0,1,0,0,0,0,4,2,3,40.0,Matches
438,Vast Phiri,DF,zm Zambia,27,1996,0.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
439,Dayana Pierre-Louis,MF,ht Haiti,19,2003,2.6,1,0,0,1,3,0,0,1,4,0,1,0,27,1,2,33.3,Matches
440,Alexandra Pinell,MF,cr Costa Rica,20,2002,0.2,0,0,0,0,0,0,0,0,1,0,0,0,3,2,4,33.3,Matches
441,Fátima Pinto,MF,pt Portugal,27,1996,1.0,0,0,0,2,2,0,0,0,2,0,0,0,8,1,3,25.0,Matches
442,Tatiana Pinto,MF,pt Portugal,29,1994,3.0,0,0,0,3,3,0,4,0,6,0,0,0,30,2,11,15.4,Matches
443,Yomira Pinzón,DF,pa Panama,26,1996,3.0,1,0,0,4,3,0,2,4,5,0,1,0,15,4,9,30.8,Matches
444,Seraina Piubel,"MF,FW",ch Switzerland,23,2000,3.7,0,0,0,0,1,1,2,5,8,0,0,0,26,3,8,27.3,Matches
