Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
523,Ewil Murillo,co COL,MF,co Pereira,22,2000,1.4,2,0,0,5,1,0,2,1,3,0,0,0,7,2,1,66.7,Matches
524,Jesús Murillo,co COL,DF,co Pereira,29,1993,0.1,0,0,0,1,0,0,0,1,0,,,0,,,,,Matches
525,Gonzalo Nápoli,uy URU,MF,uy Liverpool,22,2000,4.9,1,0,0,5,6,0,11,7,6,0,0,0,23,4,2,66.7,Matches
526,Juan Nardoni,ar ARG,MF,ar Racing Club,20,2002,6.1,3,0,0,10,10,0,3,4,2,0,0,0,30,4,5,44.4,Matches
527,Rafael Navarro,br BRA,"FW,MF",br Palmeiras,22,2000,0.6,0,0,0,4,0,1,0,0,2,0,0,0,5,4,6,40.0,Matches
528,Edanyilber Navas,ve VEN,"FW,MF",ve Monagas,23,2000,4.9,0,0,0,2,4,0,26,0,1,0,0,0,18,2,7,22.2,Matches
529,Kaiky Naves,br BRA,DF,br Palmeiras,20,2002,0.9,0,0,0,0,0,0,0,2,0,0,0,0,3,1,0,100.0,Matches
530,Brian Nieva,ar ARG,"DF,MF",ar Patronato,24,1998,0.5,0,0,0,0,1,0,0,0,1,0,0,0,3,1,2,33.3,Matches
531,Nino,br BRA,DF,br Fluminense,25,1997,12.3,4,0,0,14,25,0,2,21,6,0,0,0,67,41,21,66.1,Matches
532,Fabián Noguera,ar ARG,DF,uy Nacional,29,1993,6.0,1,0,0,2,4,0,2,13,2,0,0,0,19,19,12,61.3,Matches
533,Gastón Novero,ar ARG,MF,ar Patronato,24,1998,0.3,0,0,0,0,3,0,1,0,2,0,0,0,1,0,0,,Matches
534,Thiago Nuss,ar ARG,FW,ar Arg Juniors,21,2001,0.7,0,1,0,4,4,0,2,0,0,0,0,0,0,2,1,66.7,Matches
535,Édier Ocampo,co COL,DF,co Nacional,19,2003,2.4,3,0,0,8,2,0,8,4,4,0,0,0,16,5,2,71.4,Matches
536,Agustin Ojeda,ar ARG,"FW,MF",ar Racing Club,18,2004,3.1,0,0,0,1,3,1,8,1,0,0,0,0,13,3,6,33.3,Matches
537,Gervásio Olivera,uy URU,"DF,FW",uy Liverpool,22,2000,0.3,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,,Matches
538,Gastón Olveira,uy URU,GK,py Olimpia,29,1993,5.0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,,Matches
539,Óscar Opazo,cl CHI,DF,ar Racing Club,32,1990,0.1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,Matches
540,Roberto Ordoñez,ec ECU,"FW,MF",ec SD Aucas,37,1985,1.1,0,0,0,4,2,1,0,0,1,0,0,0,3,4,2,66.7,Matches
541,Alexander Oroz,cl CHI,"DF,FW",cl Colo-Colo,20,2002,0.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Matches
542,Nicolás Oróz,ar ARG,"MF,FW",ar Racing Club,28,1994,6.8,1,0,0,6,6,0,17,6,8,0,0,0,37,5,6,45.5,Matches
543,Michael Ortega,co COL,"MF,FW",bo The Strongest,31,1991,5.0,0,0,0,4,12,1,31,1,5,0,0,0,27,4,3,57.1,Matches
544,Charlis Ortiz,ve VEN,FW,ve Metropolitanos,36,1986,5.7,0,0,0,13,8,0,0,1,1,0,0,0,13,32,34,48.5,Matches
545,Christian Ortiz,ar ARG,"FW,MF",ec Barcelona,30,1992,3.7,1,0,0,7,4,1,16,6,3,0,0,0,23,3,5,37.5,Matches
546,Kavier Ortiz,ec ECU,FW,ec SD Aucas,20,2002,0.9,0,0,0,0,1,1,3,0,0,0,0,0,2,0,1,0.0,Matches
547,Richard Ortiz,py PAR,MF,py Olimpia,32,1990,6.6,4,0,0,11,5,1,2,3,12,0,0,0,36,8,5,61.5,Matches
548,Horacio Orzán,ar ARG,MF,pe Melgar,34,1988,5.9,2,0,0,7,3,0,0,8,12,0,1,0,50,7,5,58.3,Matches
549,Sergio Otálvaro,co COL,DF,py Olimpia,36,1986,1.3,0,0,0,4,0,0,3,4,1,0,0,0,5,1,1,50.0,Matches
550,Otávio,br BRA,MF,br Atlético Mineiro,28,1994,2.8,1,0,0,7,1,0,0,2,4,0,0,0,20,4,6,40.0,Matches
551,Rómulo Otero,ve VEN,"MF,FW",ec SD Aucas,30,1992,5.8,0,0,0,8,32,1,31,1,3,0,0,0,28,2,6,25.0,Matches
552,Leandro Otormín,uy URU,"MF,DF",uy Liverpool,26,1996,1.2,0,0,0,0,0,0,1,0,1,0,0,0,6,1,0,100.0,Matches
553,Alfio Oviedo,py PAR,FW,py Libertad,27,1995,2.4,1,0,0,6,4,4,0,0,0,0,0,0,3,10,7,58.8,Matches
554,Bayron Oyarzo,cl CHI,FW,cl Ñublense,26,1996,4.1,1,0,0,14,6,1,16,3,5,0,0,0,22,3,10,23.1,Matches
555,Pablo,br BRA,"FW,MF",br Ath Paranaense,30,1992,2.8,3,0,0,2,0,0,1,2,1,0,0,0,11,4,7,36.4,Matches
556,Pablo,br BRA,DF,br Flamengo,31,1991,1.0,1,0,0,1,1,0,0,3,0,0,0,0,4,0,2,0.0,Matches
557,Pedro Pablo Velasco,ec ECU,DF,ec Barcelona,29,1993,3.8,1,0,0,2,3,0,7,2,4,0,1,0,19,4,3,57.1,Matches
558,Juan Pablo Zuluaga,co COL,"MF,FW",co Pereira,29,1993,9.5,1,0,0,10,1,0,26,9,11,0,0,0,64,10,13,43.5,Matches
559,Dorlan Pabón,co COL,"FW,MF",co Nacional,35,1988,3.5,0,0,0,5,2,0,9,0,1,0,0,0,10,0,5,0.0,Matches
560,Steven Pabón,ve VEN,DF,ve Metropolitanos,21,2001,1.1,0,0,0,2,0,0,0,0,3,0,0,0,8,3,4,42.9,Matches
561,Kendry Páez,ec ECU,"MF,FW",ec Independiente,15,2007,2.5,0,0,0,3,2,0,14,3,3,0,0,0,10,0,1,0.0,Matches
562,Guillermo Paiva,py PAR,FW,py Olimpia,25,1997,4.8,1,0,0,6,9,5,0,0,4,0,0,0,13,17,23,42.5,Matches
563,Nelson Palacio,co COL,MF,co Nacional,21,2001,4.2,0,0,0,4,4,0,0,3,0,0,0,0,23,5,5,50.0,Matches
564,Brahian Palacios,co COL,FW,co Nacional,20,2002,2.4,0,0,0,3,3,0,11,0,2,0,0,0,7,1,2,33.3,Matches
565,Carlos Palacios,cl CHI,"FW,MF",cl Colo-Colo,22,2000,2.5,0,1,0,2,5,1,12,1,1,0,0,0,11,0,5,0.0,Matches
566,Jhon Palacios,co COL,DF,co Independiente,23,1999,2.5,0,0,0,3,0,0,0,3,3,0,0,0,13,1,4,20.0,Matches
567,Kevin Palacios,co COL,"FW,DF",co Pereira,23,2000,0.3,0,0,0,0,3,0,4,0,0,0,0,0,2,0,0,,Matches
568,Agustín Palavecino,ar ARG,"MF,FW",ar River Plate,26,1996,1.7,0,0,0,3,1,0,13,2,2,0,0,0,3,1,0,100.0,Matches
569,José Paradela,ar ARG,"FW,MF",ar River Plate,24,1998,1.4,1,0,0,3,5,1,6,0,1,0,0,0,10,0,0,,Matches
570,Felipe Pardo,co COL,MF,co Independiente,32,1990,1.7,1,0,0,1,4,0,6,1,0,0,0,0,6,1,1,50.0,Matches
571,Patrick,br BRA,MF,br Atlético Mineiro,30,1992,2.6,0,0,0,4,3,0,6,1,8,0,0,0,13,5,4,55.6,Matches
572,Alan Patrick,br BRA,"MF,FW",br Internacional,31,1991,11.5,3,0,0,13,18,2,37,10,6,0,0,0,61,6,11,35.3,Matches
573,Fernando de Paul,cl CHI,GK,cl Colo-Colo,31,1991,3.0,0,1,0,1,1,0,0,0,0,0,0,0,8,1,0,100.0,Matches
574,Giuliano de Paula,br BRA,"MF,FW",br Corinthians,32,1990,3.2,1,0,0,3,0,2,2,2,1,0,1,0,16,2,5,28.6,Matches
575,Paulinho,br BRA,FW,br Atlético Mineiro,22,2000,6.8,2,0,0,4,4,1,5,2,4,0,1,0,26,1,19,5.0,Matches
576,Paulinho,br BRA,MF,br Corinthians,34,1988,1.0,1,0,0,2,2,1,1,0,1,0,0,0,2,0,3,0.0,Matches
577,Esteban Pavez,cl CHI,MF,cl Colo-Colo,32,1990,6.0,1,0,0,6,3,0,0,4,6,0,0,0,49,4,5,44.4,Matches
578,Cristian Pavón,ar ARG,"FW,MF",br Atlético Mineiro,27,1996,4.7,2,0,0,7,1,2,25,1,2,0,0,0,30,6,10,37.5,Matches
579,Martín Payero,ar ARG,MF,ar Boca Juniors,24,1998,2.0,1,0,0,1,3,0,4,0,2,0,0,0,16,1,3,25.0,Matches
580,Luiz Paz,bo BOL,FW,bo Bolívar,18,2004,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
581,Pablo Pedraza,bo BOL,DF,bo The Strongest,27,1995,0.1,0,0,0,2,0,0,0,1,0,0,0,0,0,2,2,50.0,Matches
582,Pedrinho,br BRA,DF,br Ath Paranaense,20,2002,3.0,1,0,0,5,1,0,5,10,3,0,0,0,22,3,4,42.9,Matches
583,Pedrinho,br BRA,"MF,FW",br Atlético Mineiro,24,1998,2.3,0,0,0,3,4,0,9,1,0,0,0,0,12,1,3,25.0,Matches
584,Pedro,br BRA,FW,br Flamengo,25,1997,4.5,0,0,0,5,3,1,0,0,2,0,0,0,15,3,4,42.9,Matches
585,Cristian Pellerano,ar ARG,"MF,DF",ec Independiente,40,1982,6.0,4,0,0,3,2,0,6,6,4,0,0,0,44,1,2,33.3,Matches
586,Carlos de Pena,uy URU,"MF,FW",br Internacional,30,1992,6.1,0,0,0,9,5,0,22,10,1,0,0,0,44,6,3,66.7,Matches
587,José Luis Moreno Peña,co COL,DF,ve Metropolitanos,26,1996,1.8,3,1,1,5,0,0,0,1,0,0,0,0,5,4,2,66.7,Matches
588,Geisson Perea,co COL,DF,co Pereira,31,1991,3.2,0,0,0,1,1,0,0,1,1,0,0,0,12,4,8,33.3,Matches
589,Óscar Perea,co COL,FW,co Nacional,17,2005,0.5,1,0,0,2,0,0,3,1,1,0,1,0,3,1,1,50.0,Matches
590,Federico Pereira,uy URU,DF,uy Liverpool,22,2000,4.0,0,0,0,4,4,0,0,2,10,0,0,0,22,10,10,50.0,Matches
591,Léo Pereira,br BRA,DF,br Flamengo,27,1996,3.2,0,0,0,3,7,0,1,1,3,0,0,0,23,5,1,83.3,Matches
592,Gastón Pereiro,uy URU,"FW,MF",uy Nacional,27,1995,2.7,3,0,0,5,0,0,6,0,1,0,0,0,10,4,3,57.1,Matches
593,Valentín Pereyra,ar ARG,MF,ar Patronato,20,2002,0.5,0,0,0,0,3,1,0,0,1,0,0,0,4,0,0,,Matches
594,Enzo Pérez,ar ARG,MF,ar River Plate,36,1986,4.9,3,0,0,10,4,0,1,18,3,0,0,0,26,2,5,28.6,Matches
595,Gonzalo Pérez,uy URU,DF,uy Liverpool,22,2001,4.2,0,0,0,0,0,0,0,4,1,0,0,0,22,4,3,57.1,Matches
596,Nicola Pérez,uy URU,GK,cl Ñublense,32,1990,6.0,0,0,0,0,1,0,0,0,0,0,0,0,6,2,0,100.0,Matches
597,Pedro Perlaza,ec ECU,DF,ec SD Aucas,31,1991,2.9,1,0,0,4,5,1,6,4,2,0,0,0,17,2,1,66.7,Matches
598,Gino Peruzzi,ar ARG,DF,pe Alianza Lima,30,1992,2.0,0,0,0,3,2,0,0,0,2,0,0,0,7,1,5,16.7,Matches
599,Iván Pillud,ar ARG,DF,ar Racing Club,36,1986,2.0,1,0,0,0,7,0,5,0,3,0,0,0,20,1,1,50.0,Matches
